,Job_Name,Link,Job_Location,Internship,Teamwork,Client Communication,Time Management,Intrapersonal
0,Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DznJ5LOB8Sxa7QeEp9Xu-7tmqymb8VetCdACJvEZcmjLc7NxI4nl05s9y4FYYvp4ZyoOtZSbXRe2a3zpGcFuqApy31lt2V0W7jSAKgf8m4RxlrxXtm2Yi7bMznNljQDNFsAXrnOWrm8s-G4yQ2XN3llIVSvPkOSYgtHJvGe8WNtKnE5S0U0xepC4aQj5IL6c5C0SEVplQ795MMKVGpyCFcnTALzBoA5rZlNM-W1wGYI1N9AZ-l6Lp8fbd9JlgBKcSzdtUHuyRaItht_iEvm8p7DLhM92R2nl-itQAwP8IgWmWtQYi1uj95rt-uLE9N4Iww6uMumcBP1Z3eIRLd_jfAafwj9ZpcMQN_UZiGPC-RL7bv756ALIrbmFmSqQKuD1ypeATKOraXPb4wCBKVHBH2u6P9I9wDJ13RL669-BGGVGrtRqF2rx1szkWVE9zQUU0=&p=0&fvj=1&vjs=3,Toronto,,1,,1,1
1,DATA SCIENTIST,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CW81yLmMX0jZhkp9wi2Zzr1m-t1jAbw6FN9Wv5HozWh14F5jwCNHCXR2SMRH94RkiJl-9VEPLSMrqxQEyU1Gv-26IiIy0HkWM2RmvKZ7rRwiqbiCQS5ANixGX-hpQ2ko1TmyHM0qFWhLCooxFdx63Ka6GlZMZKNfo_juiaVNlZrGG8S8emOVjTWJlDEhe3_yM3gpXomAf3qPndKdUpvgDZcMaY21g8BNXOVOMJzO0HKhfhDaHY8PDxfdExUwjMpRbcS5XEh0q4xouXK4eRtGMcK5vjpbxQNqoX7AB7RXVm1x_a4kcbTfqsVojFMM2tkIGwgs-TIOJKaru7UmO4iP_NaVPvv58vmjvZWTOhm5ImSCMWcJtf8r_gvIBrK4LEBTEI1nD4MW6-rnOXD2dxgE9a044cZw1m1i-sxzhXKxHozA==&p=1&fvj=0&vjs=3,Toronto,,1,,,
2,"Postdoctoral Research Fellow in Computer Vision, Deep Learning and SLAM",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0Bop1AwOGSXkIS5LvCcIOLCU6dprbvn4zr_8xHydz3OCg5jCW24zXACXeySrV8WFL73U5XD2kmIxg4Q4YmHcdQrsnpjEaM5hFxJItfg5V6lRLqSb0C_xpPZYw-DOL-y8VMoOzIo5C51_Q3bn0tZJ3eW5fcfMB3rgIcC6Dt8n_Wz8dz1Cip-ikoOqTSIaperjTS-0NOAgbV4Uwo30RsyN5MGz9ZoM7zfg-MdBsi9QshAOP-jAxpQ_wuTIC0bIYHnxlFkXy3nthH5isNUIrrud23BEm9AHM_XN3-1j0jqTqeGyBvk6j4Zkko5wL-FFGvno1Up_-ZlZTZP1hf9Xliz7PgtC6yMoZy0cZkK2Wk86cq1xH5JXbxABBhHQB35ZtNVlwVeEJWzALRWpJjM1pKVaP-zpI5WvyxbFH7r7J0MIBVD3LXsAL9tC59rLk-xYfyxejy0otZE4YkN1icvzg4ZgpN4Gf_YNFEf5c0EyGPWAcln45hxmDMAbjFBYG5Adfw6v6DCImoDmCL4zA==&p=2&fvj=1&vjs=3,Toronto,,1,,,
3,Big Data Instructor,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0CYMvVl1R3x4HhPmDe20s-Dsm8iEII5uyjFc-sLJEUXzLh2VAYLKF2jRQ5wKCQUQVEJBRfM7UITcbgLYL356kofBJUIJujXzN2DBReUeYkT1QzGkRR1PNVAGuESHqOPpvZdtigSrw45ao3-nzuu-x3yMyS3cTLhaTbB6EkBd7cmBTYOhe_BDBSzAxpyJDBCXj9iZvqipqoxw01zevOBT2uRzRv2WTcUleD5_LsUXDgyHdHNiNV81WEXtH7TRx6iWOLKgNVlP1aGyeF8b0mSIqvW72oZuHacMrFlUBwdq9QkSTCYC3QVu0nq9WaFm1RV7iUibxWNX4CU_Zmr85DTuLFPC72-nqYYx5mVlGsy8GZ6h63_9zwjoyU3HHjJ_lmo_oz6sGU-Wa9DwOgjVIYgJfTPr6SLAH2jeJRDF49iIULgMNzB4R7B_jV05tAarc_DFkDqYInDdIiWVQ==&p=3&fvj=1&vjs=3,Toronto,,,,,
4,Data Scientist - Price Point – Start-up company,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0BJik0eOC2RiRcwALxZHhvolY0CiBGpIrD3jqHmT6hgcj9GGUq3nwzxcDRn3ID9hoVNHpFJfiMZVEii0Cjbtagb3mhNDEo_oIHpFMg9rCWYzYfQN4HIi5Iz2oA57hgnhTPzzOvyQ_a7LX3zRK22bHJRRSaN0PAPBBB3IrcOYUTwEV_NL9c6MKQPVIrKDDdNwErlG_zcs9FqeYHgOW_m6fPKkR8Sf-VeJ5QEC4Q9oyn2ElDp9-x6B0XUeux5o-bYOQTvmEKs6rkHhVEcsyK4PRndehvnVayZXFwiBPFhFZ_cx1kjHJpnsjYBNJLwqZ7BAlT74eptW3sC3A7En8tpYbulcWXWc-IDY5jN_GNlSXJgFBU-4C_1-s2eRfy0YCjeLENlN1WijjEObo1ua-m2Ln6ingiFoGNAlWSFglqe0kpNcx9K33WpIVPA1R7qEujs9KOLFeNU2gHc9sSo7y_F3AbME8XUGte8csEPiPqKaWJoEzHTVZ91Klb0lzZpqFmscIu1l-NpQNRUXbf5FqQATxnuVpoN7UwoqY3yC7qrCVM3CZ3Qhz0buAAdTnbqSOq_pEFgHoAR_OEDYw==&p=4&fvj=0&vjs=3,Toronto,,,,,
5,Big Data Operations Specialist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIDsHBe4z3rcFtA5i1J5G4FbQMDoOPjw874oHHM5HAs3M9-kNVuGFDx-C2Qyis7Vbs-NfuFaJ6u0bZw_pp4CQuht9hnUP7HcqHHPq1GE4U1HT6QWjHpiqZ6A4PWktyetRn0ejIZ9JxfdIpBPh0w73o479QXj0eUTAAOw30QKAj1i1tnoqicZR0ud7nEFSVooAOW4pZfw04V3G7wrhf_EJmBRXRxsR2ZXzpu7UOxmuvn2d6aKy7_CJqysJALqXx877lbOF4NuKRaPPNKW9t42y4UJ7VLUMSxlgDTmMxe92HJsa7jvfO0RpILwq5zYKpn84iVT9aAP5u0cvwkzwrN-pyolzr-ikgxoarTx3xCWhYzbAgUtjHpWtyxV0ochJlGSLoPR9LlqSNbqlMcPSlgsOq_FP-JHozFcLT2pGlPX-H4zebti5M5nPuza1Lu554QLuI7ZWpfTIvp4aYsUPe290e7x3WAoHjEjEiP5YdWCSMFWBvJ6fxR7SX5UmlB19Ui7G7c=&p=5&fvj=0&vjs=3,Toronto,1,1,1,1,
6,Senior Data Scientist,https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DPvDrY7fOi7IBjGen6Dx7RXxfTf3xqH9cPvuoqrlxtCEWGirnFmPeDqLmC0lmmv53RT4c7TfVaEeCaKVRyV_uwnQ0WZWsfo1bn6WZeEBuu9sU3EZXbsctoqXEI3pYPLgSyBty4p-CKJVlNJuqhH5RgZux2kej8PJiaMngP8gGUPgL7bJRlK8HFWR7huNFlkze32FDR0Bw53QmWcAnpNsWDJATrIiplojYBzeouXg8cmdNqWEiJggBTyfpYexvELM-nBsFItRjETwFZXCquEO_cg9T8qvECEeE-c0AD3XbLQdNMyjbrg6Z2g17y51tFD341H5mLasdt4dbsTHyUef6-qCqWZ57-JGku2rkjLgnxYR3ZbWT_j7ztOsz74OL_eb1G_9pxxWBIojEcZDkkDJYf62wY7Bs_qVJLleEbeC1gO_QkBHUT4eLw5KChXWIjkyKYuVqUIf0lDRLeRH_wOqppxGAXPpRcOkohIkSAkDPc4QwFCw7pVi0wiG2MaOilQqWdWgoqNRlyD1kjdzl2111Dw7Ud09HEQxDnZZFnxAjwSAg0cl43XdjF&p=6&fvj=0&vjs=3,Toronto,1,1,1,,1
7,"Director, Data Science Initiatives",https://www.indeed.ca/pagead/clk?mo=r&ad=-6NYlbfkN0DfaJzxeKsHg3yNa09Lu8cQQduvjegwzxl5yjE4sdO8aCQ7r433WSCgz7HcYFllrIANRFn7GZl0LUUkB4eDLyVGpcpyTEoXkxag_rLlMz-FEifsHVp8vD5NWcMGwXi68ypovIvdUB9dy1hcWhIOlf7kk14dGMtdIifGSkrQT_3pTLjtDp9O1oJqZZ-ykp8n6iieiAMKgAx938Hv9myqquraTP4XcX1Xrb9-gF_tWdkT7Ldxx4tfYouQxRfG9_tA1NjYieuzKxjHJ6Z3udW8xqafxk7bnRbZGPA_0JsIc-ofao0uCy8NwCDuTRNJYbuB8LmdtDZjyAvAGd8V4Jj7ZmKq9L6c2ybiNWdlmQ9ntafkAQ5mySz-2rk3e36f7Jd-Z2js5R74Epaw0ZAj53UKySlR95A7SVVOAFN4OMAqelIrp3vH5DfkMyZVUQcvOy-JESn9HicNA874JLT7w6oNFywh5eg1hSklhtpUH_rsCdkJG1g4W47vqt6yQy3yEAadoGRWtBSBHVxllj0AxyrRwcAFhUSP1Imve7e-gI7Y8VO5FTunOTSHqpHWzD_YyQjcEOs=&p=7&fvj=0&vjs=3,Toronto,1,1,1,1,
8,Data Scientist I,https://www.indeed.ca/rc/clk?jk=5895ee51752fa6c4&fccid=d7114f1cac8d0711&vjs=3,Toronto,,1,,,
9,Data Scientist,https://www.indeed.ca/rc/clk?jk=c07a743e9ffa3b08&fccid=537b899e30af3338&vjs=3,Toronto,1,1,,,
